sn,compound,atomic_ra,atomic_rb,atomic_rc,covl_ra,covl_rb,covl_rc,van_ra,van_rb,van_rc,ionic_ra,ionic_rb,ionic_rc,atomic_mass_a,atomic_mass_b,atomic_mass_c,eNeg_a,eNeg_b,eNeg_c,eAffin_a,eAffin_b,eAffin_c,firstIoniz_a,firstIoniz_b,firstIoniz_c,oxidation_a,oxidation_b,oxidation_c,a,b,c,alpha,beta,gamma,BandGap,formationE,fmm,magneticO,spaceG,density,Materialid
60,Ba2MnReO6,2.15,1.4,1.35,1.98,1.39,1.59,2.55,2.05,2.05,1.34,0.8,0.63,137.327,54.938045,186.207,0.89,1.55,1.9,13.95,0,0,502.9,717.3,760,2,3,5,5.861,5.861,5.861,60,60,60,0.366,-2.649,4,FiM,225,7.14,20813
61,Ba2TaFeO6,2.15,1.45,1.4,1.98,1.38,1.25,2.55,2.2,2.05,1.34,0.68,0.645,137.327,180.94788,55.845,0.89,1.5,1.83,13.95,31,14.6,502.9,761,762.5,2,5,3,5.8,5.8,10.046,73.221,90,120,1.862,-3.064,0,AFM,225,7.31,1205671
62,Ba2FeWO6,2.15,1.4,1.35,1.98,1.25,1.46,2.55,2.05,2.1,1.34,0.74,0.6,137.327,55.845,183.84,0.89,1.83,2.36,13.95,14.6,7.9,502.9,762.5,770,2,3,5,5.835,8.375,5.836,89.995,91.736,89.995,0,-2.688,0,AFM,225,7.11,18845
63,Ba2FeReO6,2.15,1.4,1.35,1.98,1.25,1.59,2.55,2.05,2.05,1.34,0.74,0.63,137.327,55.845,186.207,0.89,1.83,1.9,13.95,14.6,0,502.9,762.5,760,2,3,5,5.77,5.771,5.771,89.931,120.042,120.042,0,-2.543,3,FiM,225,7.49,31756
64,Ba2TaCoO6,2.15,1.45,1.35,1.98,1.38,1.26,2.55,2.2,0,1.34,0.68,0.61,137.327,180.94788,58.933195,0.89,1.5,1.88,13.95,31,64,502.9,761,760.4,2,5,3,5.693,5.693,5.693,60,60,60,1.533,-2.848,0,NM,225,7.77,1228308
65,Ba2CoWO6,2.15,1.35,1.35,1.98,1.26,1.46,2.55,0,2.1,1.34,0.72,0.6,137.327,58.933195,183.84,0.89,1.88,2.36,13.95,64,7.9,502.9,760.4,770,2,3,5,5.756,5.861,5.862,87.947,60.598,119.398,1.843,-2.592,3,FM,139,7.29,1274542
66,Ba2CoReO6,2.15,1.35,1.35,1.98,1.26,1.59,2.55,0,2.05,1.34,0.72,0.63,137.327,58.933195,186.207,0.89,1.88,1.9,13.95,64,0,502.9,760.4,760,2,3,5,8.19,10.033,8.195,114.049,89.951,65.937,0.256,-2.483,0,FiM,225,7.44,545792
67,Ba2NiWO6,2.15,1.35,1.35,1.98,1.21,1.46,2.55,0,2.1,1.34,0.69,0.6,137.327,58.6934,183.84,0.89,1.91,2.36,13.95,111.6,7.9,502.9,737.1,770,2,3,5,5.803,5.803,10.051,106.778,73.222,119.999,3.361,-2.526,0,AFM,225,7.37,504723
68,Ba2ReNiO6,2.15,1.35,1.35,1.98,1.59,1.21,2.55,2.05,0,1.34,0.72,0.69,137.327,186.207,58.6934,0.89,1.9,1.91,13.95,0,111.6,502.9,760,737.1,2,5,3,5.767,5.767,5.767,59.999,60,60.001,0,-2.414,3.003,FM,225,7.54,20286
69,Ba2NiOsO6,2.15,1.35,1.3,1.98,1.21,1.28,2.55,0,0,1.34,0.69,0.545,137.327,58.6934,190.23,0.89,1.91,2.2,13.95,111.6,104,502.9,737.1,840,2,2,6,5.806,5.814,14.263,90.092,90.012,119.947,0,-1.974,0.037,FiM,164,7.4,504568
70,Ba2CuWO6,2.15,1.35,1.35,1.98,1.38,1.46,2.55,0,2.1,1.34,0.72,0.6,137.327,63.546,183.84,0.89,1.9,2.36,13.95,119.24,79,502.9,745.5,770,2,2,6,6.001,6.001,6.001,124.236,124.236,82.808,0,-2.445,0.998,FM,87,7.24,505618
71,Ba2CuOsO6,2.15,1.35,1.3,1.98,1.38,1.28,2.55,0,0,1.34,0.72,0.575,137.327,63.546,190.23,0.89,1.9,2.2,13.95,119.24,104,502.9,745.5,840,2,2,6,5.979,5.979,5.979,122.591,122.591,85.568,0,-2.121,1.001,FiM,87,7.16,1078741
72,Ba2Cu2HgO6,2.15,1.35,1.5,1.98,1.38,1.49,2.55,0,2.05,1.34,0.72,1.02,137.327,63.546,200.59,0.89,1.9,2,13.95,119.24,0,502.9,745.5,1007.10,2,3,2,3.719,3.719,13.71,90,90,90,0,-1.526,0.018,NM,123,6.12,13032
73,Ba2ZnWO6,2.15,1.35,1.35,1.98,1.31,1.46,2.55,2.1,2.1,1.34,0.74,0.6,137.327,65.409,183.84,0.89,1.65,2.36,13.95,0,7.9,502.9,906.4,770,2,2,6,5.841,5.841,5.841,60,60,60,3.387,-2.655,0,NM,225,7.3,548615
